,Generator Total Loss,Discriminator Total Loss,Genrator BCE LOSS
0,1.11710,0.69132,0.70195
1,1.11438,0.69759,0.69000
2,1.10330,0.71048,0.66572
3,1.09954,0.71331,0.66065
4,1.11806,0.69088,0.70250
5,1.11846,0.69582,0.69515
6,1.11389,0.70143,0.68408
7,1.11065,0.70748,0.67257
8,1.11837,0.69036,0.70233
9,1.11511,0.70199,0.68321
10,1.11028,0.71456,0.65960
11,1.10754,0.71696,0.65525
12,1.11925,0.69011,0.70318
13,1.11668,0.70164,0.68461
14,1.11208,0.71418,0.66072
15,1.11020,0.71526,0.65872
16,1.11871,0.68897,0.70341
17,1.11508,0.70500,0.67916
18,1.11020,0.71632,0.65745
19,1.10856,0.71716,0.65589
20,1.11937,0.68840,0.70505
21,1.10650,0.71332,0.66431
22,1.10144,0.72131,0.64908
23,1.09983,0.72218,0.64749
24,1.12036,0.68771,0.70636
25,1.10590,0.71359,0.66344
26,1.10142,0.72022,0.65082
27,1.09984,0.72109,0.64921
28,1.12151,0.68698,0.70760
29,1.11413,0.70873,0.67457
30,1.10858,0.71874,0.65525
31,1.10624,0.72036,0.65224
32,1.12149,0.68672,0.70817
33,1.12314,0.69258,0.70654
34,1.11761,0.69631,0.69881
35,1.11489,0.69801,0.69545
36,1.12128,0.68689,0.70830
37,1.12246,0.69395,0.70662
38,1.11835,0.69787,0.69850
39,1.11617,0.69942,0.69544
40,1.12144,0.68672,0.70870
41,1.11265,0.70884,0.67731
42,1.09971,0.72695,0.64284
43,1.09699,0.72827,0.64046
44,1.12102,0.68602,0.70963
45,1.10049,0.72058,0.65412
46,1.09493,0.72578,0.64422
47,1.09321,0.72663,0.64269
48,1.12152,0.68589,0.71028
49,1.10591,0.71895,0.65943
