,Generator Total Loss,Discriminator Total Loss,Genrator BCE LOSS
0,1.13566,0.68310,0.71314
1,1.10063,0.69656,0.67259
2,1.13779,0.68306,0.71430
3,1.09990,0.72485,0.63773
4,1.13978,0.68344,0.71534
5,1.07727,0.73024,0.61756
6,1.13933,0.68313,0.71589
7,1.09060,0.72356,0.62704
8,1.14202,0.68306,0.71625
9,1.07905,0.74145,0.60782
10,1.14362,0.68258,0.71825
11,1.10527,0.73519,0.62974
12,1.14497,0.68217,0.71840
13,1.09288,0.70806,0.64843
14,1.14456,0.68233,0.71868
15,1.08931,0.69972,0.66832
16,1.14631,0.68126,0.72006
17,1.09201,0.73661,0.62049
18,1.14975,0.68204,0.72097
19,1.10205,0.72477,0.64284
20,1.14948,0.68118,0.72065
21,1.10219,0.72585,0.63212
22,1.15389,0.68115,0.72250
23,1.08018,0.75203,0.60177
24,1.15458,0.68074,0.72461
25,1.08951,0.69943,0.67624
26,1.15470,0.68027,0.72337
27,1.12222,0.73473,0.63270
28,1.15710,0.67970,0.72371
29,1.07447,0.74007,0.60605
30,1.16097,0.67984,0.72641
31,1.09437,0.72532,0.62416
32,1.16011,0.67888,0.72567
33,1.07892,0.73469,0.60477
34,1.16081,0.67968,0.72607
35,1.10768,0.68927,0.69173
36,1.16350,0.67805,0.72804
37,1.08314,0.73131,0.61100
38,1.16461,0.68166,0.72557
39,1.08852,0.72291,0.62097
40,1.16514,0.67699,0.72964
41,1.10773,0.72579,0.62143
42,1.16802,0.67870,0.72583
43,1.05909,0.73168,0.58244
44,1.17060,0.67716,0.72953
45,1.07127,0.73703,0.60253
46,1.17332,0.67514,0.73299
47,1.08230,0.70211,0.63102
48,1.17727,0.67438,0.73327
49,1.06281,0.73579,0.59107
50,1.17986,0.67105,0.73761
51,1.12214,0.73054,0.61933
52,1.18994,0.66805,0.74230
53,1.06075,0.74377,0.56968
54,1.19722,0.66563,0.74988
55,1.11740,0.73045,0.61504
56,1.21125,0.65906,0.75731
57,1.13577,0.70531,0.64842
58,1.22705,0.65073,0.77008
59,1.12467,0.72497,0.61438
60,1.25208,0.64048,0.78700
61,1.20367,0.68476,0.78322
62,1.28362,0.62567,0.81144
63,1.15259,0.73561,0.60173
64,1.31483,0.61386,0.83307
65,1.28409,0.67613,0.85458
66,1.35746,0.58901,0.87288
67,1.17173,0.72921,0.59669
68,1.41767,0.56370,0.92430
69,0.80594,0.99209,0.31126
70,1.44022,0.54541,0.95483
71,1.04808,0.80054,0.51935
72,1.46956,0.55738,0.94199
73,1.17657,0.61488,0.70208
74,1.51027,0.52120,0.98849
75,1.06450,0.81108,0.46454
76,1.58291,0.50099,1.04506
77,0.97832,0.83185,0.40982
78,1.57460,0.49583,1.06830
79,1.18829,0.75657,0.52014
80,1.64645,0.46410,1.11586
81,1.13088,0.78446,0.50399
82,1.69306,0.45728,1.15560
83,1.11440,0.75753,0.47893
84,1.75962,0.43854,1.20435
85,1.30869,0.77270,0.54828
86,1.85500,0.41142,1.28201
87,1.04197,0.94456,0.38441
88,1.84569,0.40302,1.30298
89,1.01661,0.76747,0.45964
90,1.87779,0.39893,1.32059
91,1.01270,0.87541,0.45791
92,1.91466,0.38850,1.36082
93,1.46760,0.53803,0.96386
94,1.93763,0.37245,1.38054
95,1.42812,0.52612,0.92975
96,1.98895,0.35194,1.43634
97,0.97794,0.96386,0.32670
98,2.13332,0.34030,1.55127
99,1.31084,0.62906,0.67546
100,2.10842,0.32907,1.54721
